FixtureKey,Team,2PM,2PA,3PM,3PA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
AIRFOR v SO DAK 06-Dec-2022,2,18,36,3,21,13,15,11,20,7,5,2,10,20
AIRFOR v MONT 27-Nov-2022,1,18,29,3,14,14,23,3,21,14,8,6,9,13
AIRFOR v MONT 27-Nov-2022,2,23,40,1,11,7,11,8,25,7,3,2,13,19
AIRFOR v TX SOU 17-Nov-2021,1,13,20,8,27,11,20,6,21,11,6,4,13,17
AIRFOR v TX SOU 17-Nov-2021,2,18,37,2,12,15,19,11,24,7,6,1,16,21
TULSA v AIRFOR 13-Nov-2021,2,15,22,9,27,2,3,7,27,13,3,3,19,13
TULSA v AIRFOR 13-Nov-2021,1,15,37,7,22,7,8,10,17,7,6,1,8,11
AKRON v NIU 03-Jan-2023,1,20,37,6,20,18,23,12,25,11,7,4,12,19
AKRON v NIU 03-Jan-2023,2,16,36,2,15,13,18,11,20,5,5,4,19,24
BRAD v AKRON 22-Dec-2022,2,8,36,8,21,15,18,12,31,6,5,2,15,12
BRAD v AKRON 22-Dec-2022,1,13,34,14,30,6,9,8,30,16,9,4,8,19
AKRON v E MICH 13-Jan-2023,1,24,30,10,33,26,32,10,34,22,2,1,8,18
AKRON v E MICH 13-Jan-2023,2,15,34,5,23,22,26,2,22,7,5,1,10,20
AKRON v W MICH 18-Jan-2022,1,18,33,11,30,5,8,18,17,17,5,2,11,14
AKRON v W MICH 18-Jan-2022,2,11,23,14,24,9,10,6,19,12,3,2,15,15
TOLEDO v AKRON 28-Jan-2022,2,21,39,7,25,13,23,16,20,15,5,2,9,17
TOLEDO v AKRON 28-Jan-2022,1,28,41,5,15,13,17,7,25,17,6,5,9,19
AKRON v KENT 03-Feb-2023,1,10,23,9,22,20,25,8,28,12,6,4,13,14
AKRON v KENT 03-Feb-2023,2,15,30,6,26,7,11,10,18,7,7,1,11,21
AKRON v E MICH 22-Jan-2022,1,10,28,7,22,5,8,8,29,10,2,3,10,12
AKRON v E MICH 22-Jan-2022,2,16,37,3,15,3,7,7,28,8,5,6,9,13
EVANS v AKRON 24-Nov-2021,2,11,28,10,15,17,27,7,25,10,3,2,13,20
EVANS v AKRON 24-Nov-2021,1,16,36,6,23,10,14,12,19,8,5,1,8,22
AKRON v FORDHM 22-Nov-2021,1,15,33,1,18,10,19,6,25,4,3,2,8,21
AKRON v FORDHM 22-Nov-2021,2,15,34,6,17,15,21,8,29,7,4,3,8,20
AKRON v NIU 17-Feb-2022,1,15,25,5,19,18,27,8,21,8,5,4,12,21
AKRON v NIU 17-Feb-2022,2,21,40,4,13,12,16,9,20,11,2,0,8,23
AKRON v MAINE 19-Dec-2022,1,20,37,11,20,14,16,9,25,17,10,2,16,12
AKRON v MAINE 19-Dec-2022,2,12,26,8,20,7,12,3,17,11,10,0,23,17
OHIOST v AKRON 09-Nov-2021,2,18,36,7,22,9,12,14,20,5,4,2,11,19
OHIOST v AKRON 09-Nov-2021,1,22,46,4,14,11,16,17,21,11,5,5,11,15
OHIO v AKRON 10-Feb-2023,2,19,36,11,23,10,18,12,20,11,5,5,13,19
OHIO v AKRON 10-Feb-2023,1,20,46,10,16,20,23,13,20,13,7,1,10,18
BALLST v AKRON 06-Jan-2023,2,16,37,3,12,22,26,11,22,3,6,3,17,26
BALLST v AKRON 06-Jan-2023,1,20,44,3,14,21,28,17,20,6,7,6,11,18
BGSU v AKRON 20-Jan-2022,2,18,34,14,27,13,16,8,24,15,8,2,6,15
BGSU v AKRON 20-Jan-2022,1,19,44,5,23,13,15,19,23,4,4,0,13,19
BGSU v AKRON 10-Jan-2023,2,14,32,11,30,13,14,8,27,14,7,3,9,12
BGSU v AKRON 10-Jan-2023,1,16,32,10,21,8,13,3,30,15,6,3,12,17
AKRON v FL A&M 12-Dec-2021,1,8,17,11,25,24,38,8,28,15,5,4,15,13
AKRON v FL A&M 12-Dec-2021,2,18,43,6,17,12,12,8,26,12,10,0,11,28
NEVADA v AKRON 23-Nov-2022,2,15,29,7,22,7,11,6,27,8,6,1,14,19
NEVADA v AKRON 23-Nov-2022,1,12,36,9,21,11,13,10,23,13,3,3,9,14
AKRON v OHIO 04-Jan-2022,1,12,29,10,27,9,17,9,24,11,4,1,10,11
AKRON v OHIO 04-Jan-2022,2,18,32,8,20,9,10,3,31,12,4,3,10,18
AKRON v WRIGHT 14-Dec-2022,1,19,36,6,26,10,14,11,31,11,10,2,12,16
AKRON v WRIGHT 14-Dec-2022,2,20,53,3,10,5,8,11,28,10,3,4,14,17
OHIO v AKRON 25-Feb-2022,2,26,33,4,15,27,35,6,27,11,6,4,11,16
OHIO v AKRON 25-Feb-2022,1,15,26,15,36,8,13,7,16,15,5,3,10,24
AKRON v APP ST 23-Nov-2021,1,11,26,7,33,2,7,8,30,11,8,2,14,18
AKRON v APP ST 23-Nov-2021,2,12,31,6,20,15,18,3,30,4,7,3,9,9
AKRON v KENT 11-Feb-2022,1,16,28,7,18,11,17,8,21,17,4,3,14,19
AKRON v KENT 11-Feb-2022,2,13,30,10,17,10,18,7,20,8,6,3,12,20
FL A&M v AL A&M 28-Jan-2023,2,20,37,2,12,15,25,9,24,9,7,3,11,15
FL A&M v AL A&M 28-Jan-2023,1,10,32,8,22,12,15,13,23,14,4,1,14,20
AL A&M v ARK PB 14-Feb-2022,1,25,48,1,12,21,23,20,25,15,3,1,14,14
AL A&M v ARK PB 14-Feb-2022,2,16,34,9,29,10,15,16,15,13,10,2,11,20
VANDY v AL A&M 22-Dec-2022,2,20,43,6,15,4,9,8,20,16,5,0,11,17
VANDY v AL A&M 22-Dec-2022,1,14,23,8,34,18,23,17,26,14,6,5,12,11
ARK PB v AL A&M 13-Feb-2023,2,13,34,10,19,19,28,10,25,16,6,6,12,24
ARK PB v AL A&M 13-Feb-2023,1,9,23,11,28,21,30,8,22,17,8,3,12,24
AL A&M v FL A&M 20-Feb-2023,1,14,41,8,18,19,33,13,24,14,6,4,8,19
AL A&M v FL A&M 20-Feb-2023,2,21,36,5,19,20,25,9,32,10,6,11,11,22
AL A&M v FL A&M 29-Jan-2022,1,14,31,8,21,8,17,6,17,15,10,1,14,23
AL A&M v FL A&M 29-Jan-2022,2,16,30,5,10,18,25,5,30,13,2,1,16,21
FL A&M v AL A&M 10-Mar-2022,2,16,40,3,14,20,27,12,38,9,3,5,9,10
FL A&M v AL A&M 10-Mar-2022,1,19,49,4,18,6,9,9,27,10,4,4,6,19
ILL v AL A&M 17-Dec-2022,2,14,39,3,17,10,14,11,22,2,7,6,18,23
ILL v AL A&M 17-Dec-2022,1,17,30,7,27,13,23,16,30,9,7,6,18,16
AL A&M v LIPSCO 09-Dec-2022,1,25,54,2,14,7,12,12,29,8,12,5,11,13
AL A&M v LIPSCO 09-Dec-2022,2,11,24,11,34,4,10,9,32,10,7,2,17,16
UAB v AL A&M 21-Nov-2021,2,12,45,3,14,8,8,9,21,6,8,4,21,16
UAB v AL A&M 21-Nov-2021,1,16,34,13,26,15,21,13,35,20,12,2,17,12
TX SOU v AL A&M 22-Jan-2022,2,15,41,1,14,11,15,11,25,6,13,3,21,18
TX SOU v AL A&M 22-Jan-2022,1,13,32,12,28,16,22,14,29,16,12,3,17,10
AL A&M v S ALA 12-Dec-2022,1,17,40,9,19,10,10,3,22,12,6,2,8,13
AL A&M v S ALA 12-Dec-2022,2,16,27,14,31,4,9,8,29,18,4,5,13,10
GRAMB v AL A&M 07-Feb-2022,2,17,40,2,14,10,14,6,26,5,7,5,15,15
GRAMB v AL A&M 07-Feb-2022,1,20,45,2,9,12,19,11,32,11,8,5,13,15
OHIOST v AL A&M 29-Dec-2022,2,18,44,6,18,5,7,9,21,12,4,1,17,24
OHIOST v AL A&M 29-Dec-2022,1,23,36,9,25,17,29,13,29,19,5,7,10,11
PV A&M v AL A&M 24-Jan-2022,2,15,45,3,13,9,13,16,17,7,12,3,18,16
PV A&M v AL A&M 24-Jan-2022,1,15,36,11,20,9,14,13,25,17,12,5,21,15
SAMFRD v AL A&M 11-Dec-2021,2,18,43,3,12,5,13,11,29,11,8,1,13,15
SAMFRD v AL A&M 11-Dec-2021,1,10,17,7,37,11,16,10,27,12,7,3,12,15
AL A&M v GRAMB 03-Mar-2022,1,19,47,5,12,18,26,10,35,10,5,5,12,16
AL A&M v GRAMB 03-Mar-2022,2,19,49,6,21,7,11,13,28,14,6,4,10,22
BECOOK v AL A&M 30-Jan-2023,2,20,40,7,23,16,23,14,30,8,5,2,19,23
BECOOK v AL A&M 30-Jan-2023,1,20,37,10,19,18,33,5,26,16,15,5,11,19
JAX ST v AL A&M 13-Nov-2021,2,13,38,5,22,6,9,10,22,6,7,0,12,18
JAX ST v AL A&M 13-Nov-2021,1,7,23,13,29,17,20,10,34,16,6,2,14,14
